date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster,corepoint
05-11-80,15:02.6,-2.704,122.014,20.0,6.07,221,82,-110,110,22,-22,1.56,18.0,-0.31,1.09,-0.36,0.9,0.35,0.68,3,c
17-05-12,50:05.0,-2.67,122.02,10.0,5.1,132,68,-2,223,88,-158,,,,,,,,,3,c
01-06-12,59:42.2,-2.63,122.02,12.0,5.3,111,54,-3,203,88,-144,1.11e+24,24.0,,,,,,,3,c
24-05-17,10:17.0,-2.76,122.15,16.0,5.7,119,41,-8,215,85,-131,4.34e+24,24.0,,,,,,,3,c
15-06-20,36:32.9,-2.68,122.16,12.0,4.9,115,32,-7,210,86,-121,3.24e+23,23.0,,,,,,,3,c
03-01-21,14:00.4,-2.66,122.25,13.2,5.0,95,32,-13,196,83,-122,3.8e+23,23.0,,,,,,,3,c
