% ini datanya
%  stike   dip   rake
   67   33   103
   46   32   76
   34   28   77
   34   28   77
   272   37   104
   99   46   108
   223   39   49
   86   33   74
   61   28   75
   92   29   101
   74   43   0
   49   73   -174
   122   40   135
   75   47   134
   55   29   113
   102   33   148
   109   59   -164
   74   32   164
   184   88   34
   184   89   28
   107   45   117
   231   62   90
   318   69   169
   318   69   169
   93   43   87
   122   51   -172
   53   45   59
   11   71   -16
   47   33   60
