% ini datanya
%  stike   dip   rake
   272.0   70.0   89.0
   265.0   69.0   94.0
   257.0   64.0   73.0
   268.0   67.0   86.0
   278.0   62.0   109.0
   85.0   48.0   -168.0
   298.0   63.0   92.0
   57.0   29.0   66.0
   72.0   29.0   49.0
   75.0   26.0   80.0
   275.0   71.0   92.0
   94.0   21.0   84.0
   291.0   67.0   98.0
   276.0   83.0   88.0
   321.0   63.0   150.0
   69.0   31.0   58.0
   273.0   65.0   92.0
   115.0   38.0   115.0
   93.0   40.0   80.0
   39.0   29.0   138.0
   258.0   78.0   82.0
   74.0   37.0   59.0
   116.0   44.0   133.0
   301.0   72.0   102.0
   275.0   69.0   89.0
   98.0   21.0   93.0
   98.0   21.0   93.0
   66.0   18.0   45.0
   281.0   72.0   96.0
   147.0   39.0   143.0
   92.0   29.0   101.0
   275.0   72.0   89.0
   271.0   69.0   88.0
   101.0   21.0   96.0
