#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
120.08 -1.17 48.4 0.319973 2.65399 -2.97396 0.921562 -1.1053 -3.14427 24.0 X Y 0 SS
120.2 -1.1 30.0 -4.53775 4.32617 0.211581 4.04395 0.488205 -1.88227 24.0 X Y 1 N
119.901 -1.161 38.3 1.51786 1.85404 -3.3719 4.63659 0.545788 -4.96011 23.0 X Y 2 SS-R
120.191 -1.485 15.0 -1.06885 1.06576 0.00308789 -0.429729 0.124865 -0.0977539 24.0 X Y 3 N
120.043 -1.101 15.0 -4.59701 7.48995 -2.89295 0.160906 -5.3831 -4.86776 23.0 X Y 4 N-SS
120.013 -1.19 10.0 -2.09646 2.10105 -0.00459059 0.264772 -1.47126 -1.29543 25.0 X Y 5 N-SS
119.998 -1.227 10.0 -5.23457 6.59352 -1.35895 0.947837 -4.54338 -3.35878 24.0 X Y 6 N-SS
119.843 -1.105 20.0 -2.70867 1.74392 0.964744 0.312864 -0.372577 -1.30178 24.0 X Y 7 N
120.09 -1.25 11.0 -1.07674 3.90274 -2.826 -1.39639 -1.84222 -3.75374 23.0 X Y 8 SS-N
120.08 -1.21 10.0 -0.0529628 1.66871 -1.61574 -0.208577 -0.3076 -1.86345 25.0 X Y 9 SS
120.248 -1.097 24.8 -1.2898 1.18193 0.10787 0.903369 -0.109923 -0.384253 24.0 X Y 10 N
120.08 -1.14 21.0 -0.514355 1.79553 -1.28118 -0.112142 -0.874001 -0.79979 23.0 X Y 11 SS-N
120.427 -1.297 16.8 -8.44273 8.05381 0.388918 3.81714 0.244025 -2.07818 25.0 X Y 12 N
120.48 -1.25 18.1 -1.20644 2.61163 -1.40519 0.537315 1.31704 -0.891413 23.0 X Y 13 SS-N
120.23 -1.29 14.8 -1.4689 1.54562 -0.076717 -0.915586 1.91852 -1.07146 23.0 X Y 14 N
119.94 -1.328 20.0 -0.0394516 3.26265 -3.2232 0.458618 -1.08433 -2.50862 23.0 X Y 15 SS
120.013 -1.314 19.1 0.0367873 3.59363 -3.63041 0.366254 -0.4199 -3.51366 23.0 X Y 16 SS
120.22 -1.44 12.0 0.245199 3.11587 -3.36107 1.33508 1.55507 1.05616 23.0 X Y 17 SS-R
120.19 -1.51 22.3 -0.0922983 2.70428 -2.61199 0.281964 -0.642851 -0.615185 23.0 X Y 18 SS
120.15 -1.51 14.7 -3.60625 3.80399 -0.197742 1.09714 0.932026 0.138936 23.0 X Y 19 N
120.19 -1.43 12.0 -4.48142 5.1115 -0.63008 2.25589 1.69388 -0.600595 23.0 X Y 20 N-SS
120.24 -1.25 26.1 -5.27141 4.74497 0.526442 1.90635 -0.387592 -1.59642 23.0 X Y 21 N
119.95 -1.44 15.0 0.0726234 0.211964 -0.284588 0.514113 1.45485 0.25573 24.0 X Y 22 R
120.04 -0.87 27.0 -1.91339 1.59466 0.318731 1.78422 0.209348 -1.25029 23.0 X Y 23 N-SS
120.46 -1.24 14.4 -1.88883 1.5972 0.29163 0.607404 -0.0311722 -0.713631 23.0 X Y 24 N
120.41 -1.25 13.1 -3.44561 3.65023 -0.204626 0.900445 1.11979 -1.07937 23.0 X Y 25 N
120.29 -1.48 19.7 -2.25793 2.68772 -0.429791 0.707086 1.07883 0.161374 23.0 X Y 26 N-SS
120.19 -1.52 17.2 -1.39113 1.37357 0.0175603 0.138367 0.153545 0.203528 23.0 X Y 27 N
