% ini datanya
%  stike   dip   rake
   315.0   25.0   90.0
   235.0   69.0   21.0
   327.0   83.0   -20.0
   171.0   76.0   -162.0
   33.0   86.0   167.0
   104.0   43.0   -75.0
   264.0   48.0   -104.0
   123.0   24.0   19.0
   135.0   88.0   -14.0
   2.0   46.0   56.0
   305.0   88.0   163.0
   110.0   22.0   -22.0
   103.0   59.0   -14.0
   103.0   59.0   -14.0
   122.0   72.0   20.0
   25.0   71.0   161.0
   38.0   24.0   100.0
   134.0   38.0   -140.0
   20.0   59.0   -146.0
   174.0   49.0   -64.0
   6.0   78.0   7.0
   40.0   35.0   57.0
   194.0   74.0   90.0
   246.0   79.0   -13.0
   44.0   61.0   165.0
   307.0   41.0   -19.0
   51.0   78.0   -130.0
   312.0   72.0   -28.0
   153.0   88.0   53.0
   14.0   87.0   -174.0
   309.0   15.0   146.0
   187.0   61.0   100.0
   359.0   29.0   76.0
   359.0   29.0   76.0
   69.0   83.0   -14.0
   56.0   60.0   8.0
   176.0   87.0   9.0
   210.0   32.0   2.0
   83.0   45.0   139.0
   47.0   55.0   140.0
   207.0   33.0   111.0
   61.0   62.0   29.0
   71.0   62.0   -21.0
   87.0   83.0   171.0
   59.0   32.0   56.0
   58.0   17.0   57.0
   72.0   29.0   49.0
   157.0   68.0   -14.0
   283.0   59.0   106.0
   14.0   83.0   -1.0
   212.0   82.0   -178.0
   72.0   61.0   -3.0
   72.0   61.0   -3.0
   203.0   43.0   91.0
   203.0   43.0   91.0
   309.0   10.0   127.0
   98.0   35.0   102.0
   274.0   24.0   -138.0
   35.0   11.0   122.0
   39.0   73.0   -3.0
   130.0   88.0   -163.0
   142.0   74.0   16.0
   142.0   74.0   16.0
   24.0   81.0   178.0
   24.0   81.0   178.0
   24.0   81.0   178.0
   280.0   70.0   -5.0
   109.0   57.0   -24.0
   109.0   57.0   -24.0
   185.0   37.0   -93.0
   36.0   6.0   54.0
   165.0   72.0   161.0
   297.0   62.0   3.0
   279.0   33.0   101.0
   47.0   24.0   38.0
   40.0   21.0   50.0
   200.0   63.0   -102.0
   95.0   21.0   82.0
   142.0   57.0   175.0
   229.0   68.0   9.0
   313.0   65.0   27.0
   13.0   40.0   110.0
   206.0   81.0   175.0
   297.0   85.0   9.0
   109.0   66.0   22.0
   268.0   69.0   -3.0
   37.0   27.0   89.0
   181.0   29.0   130.0
   201.0   33.0   129.0
   355.0   31.0   35.0
   196.0   65.0   -150.0
   308.0   51.0   -25.0
   93.0   58.0   -31.0
   216.0   86.0   -170.0
   145.0   74.0   21.0
   265.0   43.0   -93.0
   88.0   50.0   118.0
   234.0   40.0   70.0
   234.0   40.0   70.0
   23.0   30.0   104.0
   45.0   37.0   -76.0
   16.0   64.0   70.0
   68.0   16.0   64.0
   68.0   16.0   64.0
   5.0   63.0   -19.0
   261.0   18.0   89.0
   261.0   18.0   89.0
   42.0   77.0   178.0
   351.0   45.0   48.0
   296.0   30.0   69.0
   296.0   30.0   69.0
   180.0   42.0   -155.0
   223.0   26.0   92.0
   355.0   83.0   82.0
   228.0   11.0   142.0
   14.0   28.0   70.0
   14.0   28.0   70.0
   313.0   11.0   -177.0
   89.0   86.0   13.0
   358.0   77.0   176.0
   185.0   72.0   -172.0
   97.0   44.0   9.0
   101.0   76.0   17.0
   170.0   50.0   12.0
   277.0   19.0   -160.0
   272.0   30.0   -7.0
   225.0   27.0   143.0
   225.0   27.0   143.0
   217.0   16.0   119.0
   228.0   23.0   108.0
   46.0   44.0   126.0
   46.0   44.0   126.0
   125.0   17.0   113.0
   91.0   74.0   -175.0
   319.0   53.0   8.0
   319.0   53.0   8.0
   281.0   23.0   -84.0
   299.0   10.0   74.0
   61.0   69.0   2.0
   147.0   39.0   143.0
   345.0   41.0   121.0
   126.0   56.0   66.0
   230.0   39.0   26.0
   167.0   36.0   -163.0
   45.0   71.0   3.0
   30.0   40.0   88.0
   318.0   41.0   83.0
   318.0   41.0   83.0
   92.0   45.0   -103.0
   49.0   73.0   -174.0
   90.0   51.0   -48.0
   179.0   49.0   59.0
   254.0   50.0   128.0
   225.0   31.0   -134.0
   101.0   60.0   171.0
   259.0   31.0   140.0
   120.0   38.0   93.0
   54.0   34.0   135.0
   14.0   35.0   -5.0
   318.0   75.0   51.0
   221.0   80.0   -2.0
   97.0   62.0   106.0
