% ini datanya
%  stike   dip   rake
   296   30   69
   223   67   -178
   318   41   83
   68   16   64
   272   30   -7
   351   45   48
   165   72   161
   219   77   175
   80   44   -141
   6   64   173
   111   53   -14
   129   72   5
   176   63   21
   24   81   178
   142   57   175
   180   42   -155
   225   27   143
   217   16   119
   30   40   88
   30   40   88
   36   82   -4
   110   52   -16
   221   78   178
   8   43   79
   351   58   -167
   293   85   0
   100   76   -2
   61   69   2
   230   39   26
   161   37   88
   62   29   139
   12   57   3
   79   45   81
   175   33   -91
   15   44   179
   323   39   90
   301   45   53
   152   46   115
   304   44   55
   87   49   -8
   342   45   70
   18   22   106
   115   32   -7
   69   43   -109
   40   44   -129
   144   59   -3
   111   72   -167
   88   22   96
   91   47   114
   109   57   -24
   268   69   -3
   181   29   130
   308   51   -25
   261   18   89
   228   11   142
   281   23   -84
   45   71   3
   318   41   83
   49   73   -174
   175   44   121
   105   79   175
   134   80   8
   82   76   4
   69   66   16
   125   62   11
   167   45   -7
   8   68   175
   55   22   -29
   95   32   -13
   37   71   -178
   109   57   -24
   209   46   110
   357   23   81
   96   33   -74
   101   60   171
   61   62   29
   212   82   -178
   39   73   -3
   47   24   38
   229   68   9
   313   65   27
   37   27   89
   234   40   70
   45   37   -76
   199   50   -5
   345   41   121
   225   31   -134
   345   83   176
   129   82   177
   218   61   158
   132   68   -2
   77   70   1
   218   61   158
   61   62   29
   71   62   -21
   344   80   176
   334   37   104
   261   18   89
   90   51   -48
   213   70   -158
   114   44   -110
   2   46   56
   134   38   -140
   359   29   76
   264   55   -15
   72   61   -3
   142   74   16
   24   81   178
   299   10   74
   325   79   180
   149   84   5
   129   54   8
   93   29   114
   121   51   2
   81   34   -60
   75   70   168
   142   45   -75
   181   29   130
   24   81   178
   72   61   -3
   359   29   76
   279   33   101
   104   24   12
   103   59   -14
   58   17   57
   203   43   91
   274   24   -138
   216   68   177
   280   70   -5
   109   66   22
   185   72   -172
   221   64   175
   167   36   -163
   92   45   -103
   329   25   84
   119   29   121
   121   59   4
   111   54   -3
   111   54   -3
   81   46   122
   129   45   -3
   76   27   -68
   251   16   72
   354   32   54
   103   59   -14
   92   45   -103
   179   22   97
   207   48   63
   84   50   -55
   42   41   -6
   223   26   92
   14   28   70
   14   28   70
   97   44   9
   277   19   -160
   46   44   126
   319   53   8
   319   53   8
   120   38   93
   140   39   79
   96   33   -74
   40   42   133
   156   77   -168
   132   81   -177
   27   68   -162
   252   79   -5
   150   14   74
   120   67   165
   68   16   64
   225   27   143
   46   44   126
   123   24   19
   297   62   3
   72   38   -89
   131   45   -79
   171   76   -162
   25   71   161
   40   35   57
   309   15   146
   203   43   91
   206   81   175
   5   63   -19
   42   77   178
   218   61   158
   128   70   169
   167   46   46
   87   37   98
   218   80   153
   176   87   9
   145   74   21
   52   43   -159
   77   28   -60
   15   85   166
   122   72   20
   258   61   111
   336   58   48
   187   61   100
   126   56   66
   318   75   51
   87   83   171
   355   83   82
   38   24   100
   20   59   -146
   234   40   70
   228   11   142
   27   38   93
   222   53   -102
   38   81   158
   198   37   128
   130   88   -163
   101   76   17
   325   78   170
   149   41   142
   265   43   -93
   118   44   1
   119   41   -8
   332   77   -177
   353   28   60
   88   50   118
   240   52   -107
   261   53   128
   260   90   -3
   97   62   106
   14   83   -1
   309   10   127
   128   39   -62
   330   73   69
   153   88   53
   18   36   -150
   6   78   7
   44   61   165
   327   53   6
   69   83   -14
   332   86   5
   13   40   110
   315   26   72
   94   79   4
   263   29   -161
   221   82   -110
   19   87   161
   110   22   -22
   221   80   -2
   216   86   -170
   236   81   -148
   246   79   -13
   235   69   21
   104   43   -75
   16   64   70
   327   83   -20
   91   83   3
   67   45   78
   330   17   59
   305   88   163
   179   49   59
   314   35   35
   83   45   139
   194   74   90
   43   83   -175
   41   49   121
