% ini datanya
%  stike   dip   rake
   235   69   21
   327   83   -20
   171   76   -162
   104   43   -75
   264   48   -104
   123   24   19
   2   46   56
   305   88   163
   110   22   -22
   103   59   -14
   103   59   -14
   25   71   161
   122   72   20
   38   24   100
   134   38   -140
   20   59   -146
   6   78   7
   40   35   57
   258   61   111
   194   74   90
   246   79   -13
   179   22   97
   309   15   146
   187   61   100
   359   29   76
   359   29   76
   69   83   -14
   56   60   8
   330   73   69
   83   45   139
   61   62   29
   71   62   -21
   87   83   171
   58   17   57
   283   59   106
   14   83   -1
   212   82   -178
   203   43   91
   203   43   91
   309   10   127
   274   24   -138
   35   11   122
   39   73   -3
   130   88   -163
   142   74   16
   24   81   178
   24   81   178
   24   81   178
   280   70   -5
   109   57   -24
   109   57   -24
   165   72   161
   297   62   3
   279   33   101
   47   24   38
   142   57   175
   229   68   9
   313   65   27
   13   40   110
   206   81   175
   109   66   22
   268   69   -3
   37   27   89
   181   29   130
   201   33   129
   355   31   35
   222   53   -102
   332   86   5
   308   51   -25
   216   86   -170
   145   74   21
   234   40   70
   234   40   70
   88   50   118
   45   37   -76
   219   77   175
   310   85   13
   336   58   48
   16   64   70
   223   67   -178
   68   16   64
   68   16   64
   5   63   -19
   218   80   153
   261   18   89
   261   18   89
   42   77   178
   351   45   48
   296   30   69
   180   42   -155
   223   26   92
   228   11   142
   355   83   82
   228   11   142
   14   28   70
   14   28   70
   313   11   -177
   185   72   -172
   97   44   9
   101   76   17
   277   19   -160
   272   30   -7
   225   27   143
   225   27   143
   217   16   119
   46   44   126
   46   44   126
   319   53   8
   319   53   8
   281   23   -84
   299   10   74
   61   69   2
   345   41   121
   126   56   66
   230   39   26
   167   36   -163
   45   71   3
   30   40   88
   30   40   88
   318   41   83
   49   73   -174
   90   51   -48
   179   49   59
   41   49   121
   161   37   88
   225   31   -134
   101   60   171
   120   38   93
   318   75   51
   221   80   -2
   97   62   106
   114   44   -110
   209   46   110
   345   83   176
   96   33   -74
   96   33   -74
   234   37   44
   129   82   177
   67   45   78
   207   48   63
   261   53   128
   105   79   175
   134   80   8
   314   35   35
   344   80   176
   149   84   5
   40   42   133
   240   52   -107
   84   50   -55
   72   38   -89
   88   22   96
   218   61   158
   161   34   83
   62   29   139
   82   76   4
   156   77   -168
   236   81   -148
   142   45   -75
   131   45   -79
   334   37   104
   36   82   -4
   12   57   3
   110   52   -16
   93   29   114
   79   45   81
   132   81   -177
   221   78   178
   175   33   -91
   15   44   179
   8   43   79
   144   59   -3
   69   66   16
   39   70   173
   198   37   128
   94   79   4
   323   39   90
   91   47   114
   81   46   122
   260   90   -3
   111   72   -167
   77   70   1
   325   78   170
   357   23   81
   342   45   70
   43   83   -175
   251   16   72
   27   68   -162
   128   70   169
   18   22   106
   332   77   -177
   252   79   -5
   7   36   84
   354   32   54
   150   14   74
   353   28   60
   330   17   59
   40   44   -129
   293   85   0
   176   63   21
   75   70   168
   327   53   6
   120   67   165
   87   37   98
   37   71   -178
